src des bd delay plr 
0 7 107.139663 0.019882 0.012688
0 1 102.518676 0.019893 0.00567
0 19 100.992845 0.02077 0.007739
0 12 106.033695 0.024546 0.012117
1 2 102.006332 0.019894 0.01169
1 19 107.515971 0.006094 0.010163
1 10 109.939666 0.030563 0.01423
2 3 103.781707 0.019895 0.012956
2 18 100.990846 0.019334 0.010699
2 9 104.502379 0.014278 0.014829
3 4 100.418519 0.019892 0.010029
3 17 104.95046 0.032006 0.008434
3 9 105.734279 0.011494 0.006424
4 5 104.732487 0.019878 0.0095
4 23 107.467874 0.020706 0.006197
4 8 106.897254 0.024611 0.013467
5 6 107.105495 0.019864 0.005825
5 23 103.720875 0.006033 0.006934
5 14 103.524371 0.030584 0.005134
6 7 108.254278 0.019866 0.012224
6 22 105.086154 0.019366 0.013569
6 13 103.489376 0.014316 0.007819
7 21 108.534614 0.032032 0.010198
7 13 107.020437 0.011486 0.014515
8 7 107.135459 0.050579 0.013431
8 9 103.323501 0.019894 0.006346
8 3 102.330341 0.011927 0.008258
8 20 104.910574 0.03132 0.008166
9 10 109.215363 0.019894 0.009747
9 17 103.143098 0.023862 0.008527
10 11 109.530167 0.019894 0.005579
10 2 101.195667 0.026316 0.008314
10 17 108.775792 0.004647 0.0071
11 12 106.931935 0.019886 0.011145
11 7 100.601536 0.02928 0.008369
11 17 104.955243 0.015898 0.006657
12 13 109.913903 0.01987 0.013377
12 7 106.365703 0.011854 0.012463
12 16 109.044315 0.031369 0.009536
13 14 108.508329 0.019863 0.011409
13 21 102.342758 0.02386 0.012152
14 15 105.303824 0.019874 0.013287
14 6 104.105143 0.02633 0.007473
14 21 106.706828 0.00466 0.007462
15 8 103.266268 0.019889 0.005708
15 3 102.061348 0.029331 0.006313
15 21 101.537301 0.015839 0.00593
16 7 108.99652 0.039625 0.014961
16 17 102.099265 0.019893 0.006325
16 11 106.741482 0.022255 0.00785
16 5 105.176964 0.025154 0.009196
17 18 101.688577 0.019894 0.013798
17 2 107.0232 0.030118 0.006102
18 19 109.252496 0.019895 0.010587
18 10 102.755641 0.017731 0.013755
18 1 102.562229 0.01444 0.009216
19 20 104.839038 0.019892 0.006188
19 9 105.404986 0.032321 0.005953
20 21 107.341525 0.019878 0.005705
20 15 106.015182 0.022183 0.012492
20 1 103.427666 0.025208 0.009386
21 22 107.857723 0.019864 0.011835
21 6 100.766905 0.03013 0.011797
22 23 101.17111 0.019866 0.009512
22 14 102.50021 0.017751 0.006672
22 5 104.788575 0.014451 0.014268
23 16 103.913301 0.019882 0.010897
23 13 102.823177 0.032335 0.00612
