src des bd delay plr 
0 7 108.339671 0.019889 0.005576
0 1 104.623113 0.019894 0.01388
0 18 104.036714 0.013164 0.009577
0 11 104.194507 0.031348 0.014966
1 2 100.388562 0.019894 0.005027
1 18 104.610478 0.008431 0.014909
1 8 101.601471 0.023806 0.006862
2 3 109.528746 0.019894 0.014217
2 18 104.614398 0.026809 0.013828
2 8 100.185247 0.004573 0.012251
3 4 108.001455 0.019886 0.011613
3 23 105.86398 0.028672 0.014899
3 8 105.371236 0.015951 0.012475
4 5 107.737833 0.01987 0.005344
4 22 107.287994 0.013125 0.014229
4 15 102.969656 0.031397 0.013281
5 6 105.294023 0.019863 0.006428
5 22 100.05374 0.008477 0.007621
5 12 108.466764 0.023804 0.005069
6 7 107.216277 0.019874 0.009757
6 22 107.111237 0.026809 0.009595
6 12 109.670946 0.004587 0.005764
7 19 103.468058 0.028729 0.009576
7 12 103.172657 0.015893 0.005439
8 7 105.305817 0.049464 0.011302
8 9 103.538233 0.019894 0.013962
8 18 108.035737 0.030551 0.010027
9 10 105.783168 0.019895 0.013838
9 2 104.820057 0.01778 0.009141
9 17 106.26503 0.014254 0.007816
10 11 108.76305 0.019892 0.014269
10 1 104.870811 0.032347 0.012801
10 17 104.186215 0.011568 0.005284
11 12 108.300885 0.019878 0.011866
11 7 107.758753 0.022168 0.012021
11 16 104.10253 0.024645 0.008024
12 13 106.26366 0.019864 0.006517
12 22 101.560537 0.030573 0.014298
13 14 100.820601 0.019866 0.013109
13 6 102.979108 0.017799 0.006174
13 21 104.84226 0.014293 0.008279
14 15 106.744394 0.019882 0.012082
14 5 105.677864 0.032362 0.009293
14 21 105.468368 0.01156 0.011262
15 8 103.980307 0.019893 0.013418
15 3 100.701888 0.02224 0.008279
15 20 108.099597 0.024581 0.010644
16 7 100.61892 0.041332 0.014461
16 17 106.686059 0.019894 0.008096
16 10 109.784292 0.011898 0.005052
16 3 101.382692 0.031472 0.010873
17 18 104.677761 0.019894 0.013425
17 1 108.676138 0.022584 0.008163
18 19 103.470239 0.019894 0.014215
18 9 105.260604 0.026348 0.012975
19 20 105.0581 0.019886 0.008634
19 14 107.795698 0.029234 0.012107
19 0 106.148186 0.017148 0.006929
20 21 101.949142 0.01987 0.008486
20 14 104.202957 0.011826 0.007193
20 7 104.074456 0.031517 0.006062
21 22 107.679837 0.019863 0.007338
21 5 103.414267 0.022599 0.008441
22 23 109.806839 0.019874 0.00615
22 13 101.117706 0.026362 0.012107
23 16 106.208743 0.019889 0.011416
23 10 105.469652 0.029286 0.009977
23 4 100.008635 0.017072 0.010515
