src des bd delay plr 
0 7 108.169416 0.019891 0.012037
0 1 108.922464 0.019895 0.007353
0 18 109.363841 0.0067 0.008738
0 10 104.518302 0.032342 0.007626
1 2 105.360828 0.019894 0.010446
1 18 106.89707 0.013662 0.006262
1 8 103.750333 0.018341 0.00674
2 3 109.905368 0.019893 0.009767
2 17 106.679453 0.029753 0.008578
2 8 109.646315 0.003737 0.011203
3 4 106.999326 0.019882 0.014904
3 22 101.792312 0.025798 0.014504
3 8 109.498994 0.02179 0.011642
4 5 106.935719 0.019867 0.01438
4 22 109.021792 0.006644 0.010906
4 14 105.506467 0.032377 0.008774
5 6 109.124466 0.019864 0.014863
5 22 100.851249 0.013676 0.006544
5 12 104.363911 0.018358 0.006657
6 7 101.940558 0.019878 0.005742
6 21 109.653534 0.029765 0.005586
6 12 103.183564 0.003756 0.013266
7 18 103.283008 0.025851 0.013156
7 12 109.751604 0.021742 0.013863
8 7 109.816604 0.047186 0.007511
8 9 108.620189 0.019894 0.008529
8 17 107.757638 0.02673 0.012434
9 10 103.91588 0.019894 0.006721
9 2 105.674844 0.023165 0.009977
9 16 103.442265 0.012414 0.012497
10 11 108.150311 0.019889 0.007068
10 7 105.019174 0.031669 0.006545
10 16 108.754791 0.011603 0.005553
11 12 102.612496 0.019874 0.009508
11 6 109.513611 0.016517 0.009106
11 16 108.694875 0.028768 0.01488
12 13 104.912042 0.019863 0.008897
12 21 103.680143 0.026743 0.006917
13 14 104.614244 0.01987 0.008573
13 6 107.519013 0.023165 0.008364
13 20 107.021237 0.012403 0.005549
14 15 104.505535 0.019886 0.010052
14 3 103.913382 0.031717 0.005222
14 20 107.887206 0.011529 0.010424
15 8 109.597123 0.019894 0.013469
15 2 101.811394 0.016574 0.010517
15 20 108.69691 0.028715 0.00832
16 7 105.568091 0.039915 0.008851
16 17 107.457261 0.019895 0.007901
16 2 101.297608 0.032127 0.006443
17 18 107.96856 0.019894 0.011631
17 9 101.277107 0.014008 0.013394
17 1 109.3018 0.019534 0.005314
18 19 107.317353 0.019893 0.009181
18 9 107.997326 0.030245 0.012174
19 20 108.803659 0.019882 0.011667
19 14 102.022255 0.02499 0.008444
19 0 107.354155 0.020237 0.005381
20 21 100.963068 0.019867 0.005982
20 6 107.636633 0.032153 0.011683
21 22 109.522949 0.019864 0.012237
21 13 108.014786 0.014048 0.013462
21 5 101.449516 0.019565 0.006061
22 23 101.66256 0.019878 0.013416
22 13 100.405436 0.030246 0.005907
23 16 104.902242 0.019891 0.008015
23 10 105.771036 0.025053 0.011528
23 4 108.046469 0.020172 0.011797
