src des bd delay plr 
0 7 101.125303 0.019893 0.01028
0 1 108.602783 0.019894 0.014748
0 18 103.877269 0.005586 0.013266
0 9 108.123732 0.030717 0.009772
1 2 100.867655 0.019895 0.007123
1 17 108.571749 0.019181 0.01279
1 8 109.361164 0.014606 0.011314
2 3 105.334476 0.019892 0.012653
2 16 103.205849 0.031913 0.01216
2 8 108.723522 0.010569 0.012972
3 4 107.185079 0.019879 0.014264
3 22 105.926549 0.021263 0.007534
3 15 106.471334 0.024193 0.008408
4 5 103.257253 0.019864 0.011042
4 22 108.705671 0.005521 0.008807
4 13 109.519399 0.030738 0.010989
5 6 101.894926 0.019866 0.008136
5 21 102.034959 0.019213 0.011259
5 12 104.332022 0.014642 0.014462
6 7 104.678631 0.019881 0.014652
6 20 101.409476 0.03194 0.008445
6 12 106.159739 0.010563 0.006773
7 18 100.753946 0.021326 0.012118
7 11 100.707011 0.024127 0.008347
8 7 106.452707 0.044332 0.012492
8 9 107.909771 0.019894 0.008241
8 17 109.884656 0.024319 0.006536
9 10 105.356241 0.019894 0.010187
9 1 104.827237 0.025925 0.007853
9 16 109.069203 0.005573 0.00525
10 11 105.079612 0.019887 0.0056
10 7 103.450065 0.029664 0.008989
10 16 102.994602 0.015243 0.005244
11 12 104.372943 0.01987 0.010642
11 6 109.590932 0.012246 0.005628
11 23 104.515661 0.031043 0.013029
12 13 105.32979 0.019862 0.00627
12 21 105.163932 0.024342 0.014869
13 14 109.176201 0.019873 0.012539
13 5 106.635895 0.025941 0.014986
13 20 108.605677 0.005581 0.007366
14 15 101.743938 0.019889 0.012681
14 3 104.555429 0.029718 0.006585
14 20 107.834486 0.015182 0.014183
15 8 106.99335 0.019894 0.008913
15 2 104.683387 0.012317 0.011133
15 19 101.439247 0.030993 0.008449
16 7 100.776561 0.037406 0.007886
16 17 101.66019 0.019894 0.014669
16 1 102.010587 0.030504 0.00552
17 18 100.616863 0.019895 0.012807
17 9 105.163267 0.017146 0.010676
17 0 108.946601 0.015229 0.007724
18 19 108.215343 0.019892 0.009086
18 8 103.993694 0.032003 0.012948
19 20 105.263514 0.019879 0.008924
19 14 105.016329 0.022395 0.009648
19 0 108.840312 0.02457 0.010353
20 21 105.81422 0.019864 0.013491
20 5 101.135727 0.030514 0.006521
21 22 101.15215 0.019866 0.012659
21 13 103.792945 0.017169 0.008914
21 4 107.130958 0.015237 0.011079
22 23 105.497596 0.019881 0.009735
22 12 108.962788 0.032019 0.011663
23 16 106.176864 0.019893 0.005519
23 10 103.992844 0.022466 0.00526
23 4 101.121196 0.024515 0.005573
