src des bd delay plr 
0 7 104.876357 0.019882 0.010321
0 1 108.029241 0.019893 0.009589
0 19 106.105717 0.021307 0.008174
0 12 108.818079 0.024141 0.013719
1 2 101.694016 0.019894 0.006039
1 19 104.789429 0.005601 0.013342
1 10 102.690066 0.030712 0.01157
2 3 104.74428 0.019895 0.011513
2 18 104.574921 0.019185 0.009432
2 9 106.389733 0.014594 0.008482
3 4 104.163371 0.019892 0.014107
3 17 100.994265 0.031916 0.009335
3 9 104.984502 0.010599 0.007366
4 5 107.236598 0.019879 0.005945
4 23 103.606995 0.021245 0.005768
4 8 105.164607 0.024206 0.00869
5 6 101.444737 0.019864 0.013302
5 23 107.939849 0.005536 0.011593
5 14 108.925733 0.030732 0.007141
6 7 101.88685 0.019866 0.006629
6 22 109.545599 0.019217 0.006418
6 13 100.340167 0.014631 0.006441
7 21 106.130476 0.031942 0.008045
7 13 103.208939 0.010593 0.009063
8 7 103.475679 0.050488 0.010009
8 9 104.472778 0.019894 0.01319
8 3 106.151114 0.012303 0.012758
8 20 104.27504 0.031003 0.011277
9 10 108.869255 0.019894 0.012282
9 18 109.027116 0.024312 0.008287
10 11 107.857181 0.019894 0.014948
10 2 104.332842 0.025937 0.011968
10 17 103.131225 0.005543 0.014508
11 12 107.989447 0.019887 0.010086
11 0 101.114954 0.029658 0.012359
11 17 102.82445 0.015263 0.011803
12 13 106.578126 0.01987 0.014949
12 7 103.079433 0.012233 0.009212
12 16 109.847758 0.031053 0.00957
13 14 109.298896 0.019863 0.007661
13 22 109.918936 0.024335 0.014355
14 15 106.693708 0.019873 0.009083
14 6 109.310857 0.025953 0.011058
14 21 101.418646 0.005551 0.01081
15 8 106.867204 0.019889 0.012494
15 4 101.774969 0.029713 0.014505
15 21 108.124129 0.015203 0.01411
16 7 108.20658 0.039339 0.007656
16 17 109.891951 0.019893 0.013368
16 11 102.205163 0.022459 0.008996
16 5 104.799825 0.024535 0.006949
17 18 108.458316 0.019894 0.013626
17 2 100.660991 0.030491 0.013455
18 19 101.991552 0.019895 0.011454
18 10 102.415115 0.017165 0.007167
18 1 103.971741 0.015203 0.014291
19 20 106.856118 0.019892 0.013869
19 9 104.626062 0.032013 0.007629
20 21 106.122276 0.019879 0.010669
20 15 109.01468 0.022388 0.01447
20 1 100.79954 0.024591 0.012581
21 22 102.235171 0.019864 0.014768
21 6 104.978769 0.030502 0.005769
22 23 107.989441 0.019866 0.005994
22 14 104.858716 0.017187 0.008444
22 5 106.878394 0.015212 0.013685
23 16 101.146038 0.019882 0.007205
23 13 105.245585 0.032029 0.013684
