src des bd delay plr 
0 7 105.964487 0.019892 0.01375
0 1 104.949665 0.019895 0.010678
0 18 107.655139 0.004963 0.006392
0 9 104.355746 0.031184 0.011901
1 2 109.960765 0.019895 0.005052
1 18 102.486269 0.017655 0.014241
1 8 100.984403 0.015563 0.013507
2 3 101.225029 0.019892 0.007497
2 17 108.467169 0.031785 0.00825
2 8 109.400281 0.008406 0.008942
3 4 101.557504 0.01988 0.00503
3 22 106.527187 0.022628 0.011082
3 15 105.5906 0.02333 0.007816
4 5 107.937889 0.019865 0.009111
4 22 104.523919 0.004891 0.012267
4 13 107.84921 0.031203 0.009321
5 6 103.780678 0.019865 0.013401
5 22 101.684375 0.017655 0.011853
5 12 104.107507 0.015594 0.008863
6 7 100.434581 0.01988 0.007855
6 21 109.189953 0.031791 0.014002
6 12 108.534886 0.008405 0.013344
7 18 104.653005 0.022687 0.010721
7 11 108.428412 0.023262 0.014977
8 7 101.50764 0.045302 0.008325
8 9 105.185201 0.019894 0.011806
8 17 106.248869 0.024906 0.010571
9 10 105.971326 0.019894 0.011224
9 1 108.254762 0.02512 0.008027
9 16 109.466443 0.007743 0.011611
10 11 105.186593 0.019887 0.008065
10 7 100.677927 0.030147 0.00686
10 16 100.43691 0.013831 0.009728
11 12 100.732389 0.019872 0.013759
11 6 103.183821 0.013372 0.005411
11 23 102.550172 0.030376 0.006435
12 13 106.426367 0.019862 0.006592
12 21 105.339667 0.024926 0.006795
13 14 108.115942 0.019872 0.014679
13 5 100.949192 0.02514 0.005605
13 20 105.384275 0.007743 0.005964
14 15 102.448162 0.019888 0.005662
14 3 105.592 0.030199 0.008666
14 20 106.440808 0.013766 0.008934
15 8 108.699764 0.019894 0.013161
15 2 102.185224 0.013438 0.009545
15 19 109.31151 0.030324 0.011194
16 7 107.366471 0.03832 0.006002
16 17 102.629894 0.019895 0.010064
16 1 102.712482 0.031472 0.005658
17 18 106.830391 0.019895 0.006628
17 9 107.662877 0.015904 0.012834
17 0 109.168071 0.017085 0.005666
18 19 108.369913 0.019892 0.010362
18 8 105.545203 0.031355 0.006981
19 20 106.892067 0.01988 0.007599
19 14 109.921899 0.023031 0.009986
19 0 105.626983 0.023119 0.007985
20 21 109.020525 0.019865 0.012177
20 5 100.013827 0.031479 0.014918
21 22 109.726098 0.019865 0.014077
21 13 103.603905 0.015933 0.011788
21 4 101.393728 0.017087 0.007209
22 23 101.694433 0.01988 0.01445
22 12 100.544955 0.031373 0.008473
23 16 102.99044 0.019892 0.005514
23 10 105.059323 0.0231 0.00666
23 4 100.361687 0.023061 0.009959
