src des bd delay plr 
0 7 104.0025 0.019894 0.006292
0 1 105.780147 0.019894 0.01176
0 17 106.301371 0.007661 0.008141
0 8 103.332436 0.025302 0.006862
1 2 106.35311 0.019894 0.010332
1 17 101.55622 0.024082 0.010579
1 15 103.47113 0.008934 0.008176
2 3 102.939185 0.019888 0.013554
2 22 101.912361 0.030712 0.012158
2 15 106.073772 0.013141 0.014325
3 4 107.664081 0.019872 0.008719
3 22 105.245749 0.016706 0.012144
3 14 103.740311 0.030069 0.010049
4 5 106.692575 0.019862 0.00808
4 21 100.724176 0.007714 0.013714
4 12 100.935794 0.02532 0.007219
5 6 101.074959 0.019871 0.005064
5 21 101.50534 0.024092 0.011664
5 11 109.545752 0.008931 0.009583
6 7 104.213203 0.019887 0.013752
6 18 105.626384 0.030763 0.008956
6 11 100.546497 0.013074 0.012356
7 18 107.743818 0.016783 0.012014
7 10 105.877789 0.030015 0.013034
8 7 105.06704 0.038237 0.006028
8 9 101.511752 0.019895 0.01013
8 1 102.27632 0.015307 0.009983
8 16 107.235986 0.016189 0.014458
9 10 104.941546 0.019893 0.010179
9 0 101.645168 0.031057 0.01011
9 16 104.206468 0.007214 0.007669
10 11 105.368742 0.019881 0.005982
10 6 108.630272 0.023457 0.010386
10 23 104.044166 0.022928 0.010968
11 12 103.833425 0.019865 0.007903
11 21 102.304261 0.031518 0.006095
12 13 103.939725 0.019865 0.00535
12 5 102.112394 0.015339 0.009393
12 20 103.50776 0.016216 0.006421
13 14 107.142201 0.01988 0.011877
13 4 101.021406 0.031076 0.012708
13 20 108.690766 0.007217 0.011027
14 15 107.497692 0.019892 0.009454
14 2 108.983935 0.023525 0.007846
14 19 109.699648 0.022858 0.005531
15 8 108.501462 0.019895 0.012214
15 17 102.731718 0.031501 0.012547
16 7 100.806387 0.030438 0.014912
16 17 105.463336 0.019894 0.007873
16 0 107.877861 0.025125 0.010673
17 18 102.731073 0.019894 0.013692
17 8 109.655176 0.024747 0.008394
18 19 108.370926 0.019888 0.013088
18 14 104.484856 0.030474 0.013196
18 0 108.915365 0.015594 0.013507
19 20 100.870726 0.019872 0.014032
19 13 106.564501 0.014094 0.008979
19 7 101.813051 0.029919 0.010536
20 21 104.409543 0.019862 0.009084
20 4 109.282133 0.025131 0.011799
21 22 103.683893 0.019871 0.012277
21 12 102.430176 0.024768 0.005968
22 23 108.366039 0.019887 0.005565
22 10 104.004759 0.030526 0.005535
22 4 104.332281 0.015557 0.005395
23 16 109.053827 0.019894 0.014382
23 9 105.55174 0.014158 0.014031
23 3 109.439486 0.029866 0.006466
