src des bd delay plr 
0 7 103.340967 0.019894 0.006713
0 1 108.495992 0.019894 0.007453
0 17 105.676103 0.008301 0.009441
0 8 105.946312 0.026219 0.007905
1 2 103.992676 0.019894 0.010915
1 17 100.596451 0.022746 0.013893
1 15 102.550778 0.011271 0.009219
2 3 101.727152 0.019889 0.012866
2 23 108.489272 0.031438 0.00849
2 15 105.33562 0.012015 0.014138
3 4 106.658877 0.019873 0.011198
3 22 102.696276 0.017009 0.007619
3 15 105.631167 0.029469 0.011653
4 5 100.351137 0.019863 0.005096
4 21 105.844672 0.008349 0.011158
4 12 101.483125 0.026233 0.013565
5 6 103.455584 0.01987 0.010427
5 21 107.02267 0.022761 0.01271
5 11 106.188562 0.011263 0.013867
6 7 103.999265 0.019886 0.011206
6 19 108.872507 0.031483 0.011978
6 11 105.559759 0.011943 0.011019
7 18 102.383898 0.017085 0.012259
7 11 102.708731 0.029417 0.00521
8 7 107.068131 0.039462 0.013675
8 9 108.872073 0.019894 0.00847
8 1 109.648735 0.014352 0.005153
8 16 104.355079 0.017587 0.006363
9 10 105.243403 0.019893 0.00985
9 0 102.978454 0.030597 0.006612
9 16 103.103544 0.00487 0.005685
10 11 106.99161 0.019882 0.006447
10 6 107.392176 0.024443 0.008303
10 23 107.996951 0.022302 0.00978
11 12 106.191437 0.019866 0.010139
11 21 103.300872 0.032257 0.006039
12 13 108.375392 0.019864 0.007074
12 5 102.110968 0.01439 0.011397
12 20 101.297016 0.017608 0.010787
13 14 102.776984 0.019878 0.012201
13 4 103.189369 0.030618 0.010984
13 20 107.530991 0.004882 0.010985
14 15 107.306014 0.019892 0.014184
14 2 106.440708 0.024507 0.005251
14 19 101.085715 0.022231 0.006885
15 8 104.553524 0.019895 0.006013
15 17 100.768624 0.032242 0.006867
16 7 102.392149 0.032018 0.006301
16 17 101.987061 0.019894 0.012563
16 0 104.240006 0.026614 0.010279
17 18 108.361816 0.019894 0.010973
17 9 107.06374 0.024031 0.014042
18 19 106.649774 0.019889 0.010162
18 14 109.397659 0.031239 0.013902
18 0 103.254863 0.01344 0.01151
19 20 101.763766 0.019873 0.013517
19 13 103.683018 0.015678 0.005383
19 7 100.852725 0.028857 0.012115
20 21 107.907267 0.019863 0.011216
20 4 108.533952 0.026615 0.0072
21 22 103.190369 0.01987 0.005143
21 13 109.762509 0.024028 0.014076
22 23 107.094322 0.019886 0.009667
22 10 108.173584 0.031288 0.007547
22 4 108.404503 0.013401 0.010121
23 16 107.499185 0.019894 0.013788
23 9 105.597293 0.015737 0.006624
23 3 100.262136 0.0288 0.014212
