src des bd delay plr 
0 7 101.294826 0.019894 0.009218
0 1 105.21172 0.019895 0.011295
0 16 107.369816 0.019259 0.010892
0 15 109.553432 0.014419 0.005957
1 2 109.949473 0.019892 0.005755
1 23 109.904155 0.03196 0.006541
1 15 104.358501 0.011077 0.012309
2 3 104.004943 0.019879 0.014496
2 21 104.453686 0.020955 0.012369
2 14 104.146698 0.024419 0.010192
3 4 102.259007 0.019864 0.011979
3 21 102.928898 0.005787 0.007387
3 12 101.626587 0.03065 0.01334
4 5 100.001494 0.019866 0.013596
4 20 106.365918 0.019291 0.013505
4 11 100.979837 0.014457 0.006713
5 6 104.734134 0.019882 0.011849
5 19 101.734858 0.031987 0.006536
5 11 106.043719 0.01107 0.006549
6 7 100.308637 0.019893 0.009347
6 17 101.592486 0.021018 0.011073
6 10 109.802211 0.024354 0.011669
7 17 106.241495 0.00585 0.005945
7 8 108.385282 0.030629 0.013554
8 9 102.466521 0.019894 0.010565
8 0 106.78793 0.026136 0.008397
8 23 107.22637 0.005064 0.014488
9 10 100.381407 0.019886 0.012714
9 5 101.176801 0.029537 0.011985
9 23 109.7987 0.015599 0.011616
10 11 107.839387 0.01987 0.012969
10 5 103.862223 0.012024 0.008572
10 22 107.782803 0.031219 0.010609
11 12 102.068379 0.019863 0.014806
11 19 108.099835 0.024174 0.006023
12 13 105.082614 0.019873 0.010922
12 4 103.363719 0.026151 0.013236
12 19 105.31341 0.005075 0.005422
13 14 101.287289 0.019889 0.008885
13 1 104.358747 0.029588 0.011313
13 19 103.105288 0.015539 0.011866
14 15 105.63918 0.019894 0.00914
14 1 107.878774 0.012095 0.009111
14 18 104.158131 0.03117 0.010523
15 8 102.989981 0.019894 0.007112
15 23 106.2352 0.024177 0.007061
16 7 102.435172 0.014795 0.011072
16 17 109.950892 0.019895 0.010751
16 8 101.70435 0.017464 0.011484
17 18 109.65201 0.019892 0.012002
17 15 107.751376 0.032175 0.010315
18 19 107.883454 0.019879 0.011549
18 13 102.485399 0.022274 0.008895
18 7 106.301968 0.024919 0.007796
19 20 101.465782 0.019864 0.005284
19 4 105.536201 0.030301 0.011371
20 21 108.763985 0.019866 0.012215
20 12 107.217033 0.017485 0.006047
20 3 103.141459 0.014805 0.012839
21 22 109.790323 0.019882 0.008481
21 11 108.497097 0.03219 0.005992
22 23 107.087893 0.019893 0.005086
22 9 100.629746 0.022346 0.013545
22 3 101.163191 0.024865 0.012477
23 16 101.408385 0.019894 0.014362
23 0 109.627324 0.03029 0.008092
