src des bd delay plr 
0 5 101.415602 0.025979 0.009082
0 1 103.961294 0.025989 0.008044
0 42 102.861615 0.011049 0.006852
0 11 109.586637 0.015128 0.009316
1 2 106.021401 0.025988 0.008958
1 43 100.684249 0.004167 0.010366
1 6 100.418365 0.004037 0.009988
2 3 107.705845 0.025979 0.006766
2 44 100.741568 0.015163 0.014541
2 7 104.539815 0.011146 0.007008
3 4 109.517739 0.025959 0.006315
3 45 106.791443 0.011036 0.010316
3 8 104.013241 0.015121 0.009837
4 5 108.255826 0.025959 0.010356
4 46 109.312565 0.004156 0.012765
4 9 103.365569 0.004026 0.007198
5 47 102.714287 0.015157 0.013119
5 10 101.744014 0.011133 0.01351
6 5 100.906061 0.045201 0.006123
6 7 101.211806 0.025989 0.014875
6 12 107.537668 0.011049 0.009213
7 8 102.855447 0.025986 0.009916
7 13 103.574062 0.004167 0.00739
8 9 108.10441 0.025969 0.00903
8 14 106.856891 0.015163 0.010268
9 10 103.639946 0.025955 0.009493
9 15 100.23192 0.011036 0.013539
10 11 100.590229 0.025969 0.006907
10 16 102.680657 0.004156 0.014701
11 6 108.271679 0.025986 0.011604
11 17 101.428901 0.015157 0.010357
12 5 102.741011 0.047738 0.009596
12 13 107.583447 0.025989 0.009527
12 23 100.011476 0.015128 0.013119
13 14 103.553118 0.025988 0.00813
13 18 106.489647 0.004037 0.005623
14 15 104.683629 0.025979 0.012656
14 19 107.157826 0.011146 0.009513
15 16 109.941897 0.025959 0.012411
15 20 107.00757 0.015121 0.011582
16 17 100.629896 0.025959 0.012175
16 21 102.738788 0.004026 0.014344
17 12 106.415628 0.025979 0.009248
17 22 103.235343 0.011133 0.012001
18 5 100.953734 0.050527 0.009171
18 19 106.983062 0.025989 0.008547
18 24 105.302708 0.011049 0.013743
19 20 109.245019 0.025986 0.013665
19 25 104.18151 0.004167 0.012631
20 21 100.720002 0.025969 0.008558
20 26 105.010823 0.015163 0.011009
21 22 102.698785 0.025955 0.008042
21 27 106.07805 0.011036 0.012085
22 23 102.603073 0.025969 0.007471
22 28 109.276915 0.004156 0.007369
23 18 109.360144 0.025986 0.005886
23 29 106.823101 0.015157 0.01216
24 5 102.015185 0.049429 0.009829
24 25 101.942916 0.025989 0.005338
24 35 103.637396 0.015128 0.012008
25 26 106.564187 0.025988 0.012054
25 30 103.80145 0.004037 0.008375
26 27 106.063324 0.025979 0.008216
26 31 107.39299 0.011146 0.013535
27 28 109.408701 0.025959 0.00532
27 32 109.95862 0.015121 0.005573
28 29 105.490064 0.025959 0.006816
28 33 102.850723 0.004026 0.013717
29 24 106.905969 0.025979 0.008834
29 34 105.209535 0.011133 0.011526
30 5 109.336825 0.037122 0.011622
30 31 100.978657 0.025989 0.010009
30 36 105.710396 0.011049 0.010218
31 32 100.581904 0.025986 0.013392
31 37 102.323319 0.004167 0.008888
32 33 103.412901 0.025969 0.009558
32 38 106.577261 0.015163 0.013286
33 34 101.194091 0.025955 0.012649
33 39 100.314966 0.011036 0.009752
34 35 107.788554 0.025969 0.013515
34 40 104.282978 0.004156 0.00883
35 30 105.008503 0.025986 0.008857
35 41 104.092965 0.015157 0.009601
36 5 108.481007 0.028969 0.014213
36 37 102.026568 0.025989 0.011817
36 47 105.071084 0.015128 0.00574
37 38 101.745399 0.025988 0.008973
37 42 104.848152 0.004037 0.014383
38 39 103.797196 0.025979 0.013898
38 43 100.490443 0.011146 0.012517
39 40 108.206983 0.025959 0.01338
39 44 108.886973 0.015121 0.008561
40 41 104.939608 0.025959 0.012303
40 45 100.194148 0.004026 0.012715
41 36 101.841775 0.025979 0.008288
41 46 100.406587 0.011133 0.005528
42 5 108.318864 0.029463 0.013896
42 43 103.796178 0.025989 0.009461
43 44 107.451279 0.025986 0.012463
44 45 104.721485 0.025969 0.005688
45 46 106.147051 0.025955 0.008294
46 47 108.709364 0.025969 0.008286
47 42 106.757983 0.025986 0.009255
