src des bd delay plr 
0 5 103.545582 0.025972 0.009843
0 1 104.003049 0.025987 0.013733
0 42 107.381767 0.014244 0.008483
0 11 102.879764 0.015609 0.009881
1 2 101.511765 0.025989 0.010687
1 43 105.358794 0.001564 0.012649
1 6 103.88433 0.009069 0.007933
2 3 108.105826 0.025984 0.006274
2 44 104.959947 0.012808 0.011312
2 7 102.408358 0.006585 0.011794
3 4 100.453712 0.025965 0.012544
3 45 104.204427 0.014235 0.008507
3 8 105.597206 0.015611 0.005194
4 5 105.353264 0.025955 0.010017
4 46 108.550639 0.001548 0.01413
4 9 100.814895 0.009056 0.010475
5 47 103.012497 0.012796 0.00671
5 10 107.916678 0.006573 0.007651
6 5 101.964324 0.045363 0.011273
6 7 107.215601 0.025989 0.011098
6 12 105.017108 0.014244 0.012691
7 8 102.872762 0.025988 0.007414
7 13 105.870643 0.001564 0.011032
8 9 109.153325 0.025976 0.012266
8 14 100.664247 0.012808 0.012172
9 10 108.156081 0.025957 0.014448
9 15 107.677119 0.014235 0.008937
10 11 102.326584 0.025962 0.01191
10 16 102.331309 0.001548 0.010173
11 6 102.033805 0.025982 0.006408
11 17 103.558951 0.012796 0.013312
12 5 104.617521 0.046672 0.007125
12 13 102.614974 0.025987 0.013943
12 23 102.267887 0.015609 0.009045
13 14 104.721757 0.025989 0.008206
13 18 108.020177 0.009069 0.005132
14 15 102.822401 0.025984 0.012461
14 19 106.267365 0.006585 0.00516
15 16 101.04797 0.025965 0.014803
15 20 108.216355 0.015611 0.01022
16 17 103.154199 0.025955 0.006521
16 21 109.974881 0.009056 0.011141
17 12 100.201024 0.025972 0.012941
17 22 106.449532 0.006573 0.006657
18 5 106.794181 0.051381 0.006217
18 19 105.357596 0.025989 0.01103
18 24 109.688766 0.014244 0.005073
19 20 109.885757 0.025988 0.00946
19 25 109.835835 0.001564 0.007488
20 21 105.367192 0.025976 0.010536
20 26 107.970052 0.012808 0.007467
21 22 109.028879 0.025957 0.01441
21 27 104.658952 0.014235 0.009123
22 23 105.491013 0.025962 0.011844
22 28 109.62676 0.001548 0.008967
23 18 109.544307 0.025982 0.008359
23 29 104.584275 0.012796 0.008747
24 5 101.52158 0.04735 0.006136
24 25 104.546478 0.025987 0.005138
24 35 100.749203 0.015609 0.008255
25 26 100.248501 0.025989 0.006452
25 30 106.787455 0.009069 0.011433
26 27 107.685632 0.025984 0.011499
26 31 109.247351 0.006585 0.008823
27 28 109.636955 0.025965 0.007385
27 32 109.880909 0.015611 0.014263
28 29 104.387379 0.025955 0.009432
28 33 100.496714 0.009056 0.00675
29 24 102.95943 0.025972 0.009243
29 34 105.965746 0.006573 0.013249
30 5 108.30887 0.03827 0.01207
30 31 109.776374 0.025989 0.008509
30 36 100.281413 0.014244 0.007497
31 32 101.490659 0.025988 0.00953
31 37 102.715468 0.001564 0.008602
32 33 103.033104 0.025976 0.013341
32 38 100.976866 0.012808 0.007285
33 34 105.789123 0.025957 0.009702
33 39 105.311146 0.014235 0.009676
34 35 109.398491 0.025962 0.010481
34 40 109.947793 0.001548 0.008221
35 30 109.868676 0.025982 0.006025
35 41 101.673492 0.012796 0.013927
36 5 105.518369 0.027173 0.006352
36 37 106.118647 0.025987 0.006748
36 47 103.895544 0.015609 0.011385
37 38 109.808005 0.025989 0.01467
37 42 108.759241 0.009069 0.008759
38 39 108.821114 0.025984 0.011717
38 43 104.434637 0.006585 0.007167
39 40 106.261156 0.025965 0.011716
39 44 102.005144 0.015611 0.011284
40 41 104.12935 0.025955 0.010244
40 45 109.093461 0.009056 0.012357
41 36 104.675464 0.025972 0.007803
41 46 101.088253 0.006573 0.012938
42 5 101.887526 0.029704 0.010746
42 43 101.126468 0.025989 0.009826
43 44 102.730017 0.025988 0.01385
44 45 106.144947 0.025976 0.010353
45 46 108.8083 0.025957 0.011414
46 47 101.93378 0.025962 0.006207
47 42 105.206468 0.025982 0.012898
