src des bd delay plr 
0 5 105.931458 0.025985 0.014369
0 1 103.647609 0.025989 0.009619
0 42 105.381015 0.005935 0.014952
0 11 107.263504 0.012385 0.010255
1 2 102.288592 0.025987 0.009133
1 43 100.353785 0.00964 0.005555
1 6 102.784967 0.002232 0.00896
2 3 105.095569 0.025972 0.011804
2 44 106.395691 0.015527 0.007343
2 7 103.613778 0.014527 0.009374
3 4 101.367307 0.025955 0.012533
3 45 107.365901 0.005923 0.012694
3 8 108.23337 0.012372 0.009136
4 5 106.649137 0.025966 0.014594
4 46 103.514029 0.009627 0.007201
4 9 103.870287 0.002219 0.007909
5 47 101.154714 0.01553 0.01069
5 10 100.322276 0.014518 0.012796
6 5 100.307397 0.044359 0.008351
6 7 105.930396 0.025989 0.008822
6 12 101.670153 0.005935 0.007903
7 8 107.732695 0.025981 0.008252
7 13 101.94792 0.00964 0.011731
8 9 106.523198 0.025961 0.010754
8 14 105.230352 0.015527 0.007504
9 10 109.9473 0.025957 0.013799
9 15 101.405443 0.005923 0.005394
10 11 109.906679 0.025977 0.007031
10 16 104.114213 0.009627 0.013979
11 6 109.942875 0.025988 0.013009
11 17 108.987139 0.01553 0.012775
12 5 103.990176 0.046394 0.005343
12 13 101.510038 0.025989 0.010577
12 23 108.096304 0.012385 0.006829
13 14 103.75065 0.025987 0.011554
13 18 100.054198 0.002232 0.005169
14 15 106.693934 0.025972 0.012546
14 19 106.95949 0.014527 0.005746
15 16 105.747077 0.025955 0.010551
15 20 101.488945 0.012372 0.014214
16 17 106.756404 0.025966 0.012844
16 21 106.06268 0.002219 0.007161
17 12 100.434181 0.025985 0.005685
17 22 109.91049 0.014518 0.007496
18 5 108.859951 0.045964 0.005466
18 19 104.433114 0.025989 0.00862
18 24 103.847821 0.005935 0.011312
19 20 102.671063 0.025981 0.008665
19 25 103.648575 0.00964 0.005391
20 21 103.662613 0.025961 0.014409
20 26 100.765868 0.015527 0.011045
21 22 104.166318 0.025957 0.007543
21 27 101.896345 0.005923 0.010543
22 23 102.544999 0.025977 0.009969
22 28 100.11719 0.009627 0.006772
23 18 106.192706 0.025988 0.007107
23 29 101.354473 0.01553 0.007386
24 5 102.686704 0.046799 0.0073
24 25 104.101145 0.025989 0.012667
24 35 105.981662 0.012385 0.011502
25 26 102.2652 0.025987 0.012386
25 30 106.052379 0.002232 0.005313
26 27 102.806009 0.025972 0.013599
26 31 107.731838 0.014527 0.005227
27 28 109.906329 0.025955 0.010784
27 32 109.969505 0.012372 0.012532
28 29 102.657413 0.025966 0.008964
28 33 108.905093 0.002219 0.013907
29 24 107.525456 0.025985 0.013021
29 34 105.581064 0.014518 0.00981
30 5 108.747349 0.030628 0.012336
30 31 100.018528 0.025989 0.012899
30 36 109.617673 0.005935 0.007393
31 32 102.465032 0.025981 0.007765
31 37 100.864311 0.00964 0.005317
32 33 100.334045 0.025961 0.014684
32 38 109.602319 0.015527 0.007596
33 34 105.309085 0.025957 0.009227
33 39 104.054282 0.005923 0.005424
34 35 101.718291 0.025977 0.005334
34 40 106.260037 0.009627 0.007003
35 30 108.309902 0.025988 0.006674
35 41 102.895888 0.01553 0.00839
36 5 103.738061 0.026701 0.01162
36 37 100.189256 0.025989 0.009194
36 47 102.364598 0.012385 0.013203
37 38 106.268532 0.025987 0.005938
37 42 103.28851 0.002232 0.00573
38 39 106.738673 0.025972 0.0109
38 43 105.884274 0.014527 0.007481
39 40 107.083892 0.025955 0.006983
39 44 105.755058 0.012372 0.008103
40 41 103.17436 0.025966 0.013432
40 45 108.933503 0.002219 0.012847
41 36 102.305071 0.025985 0.014521
41 46 106.67988 0.014518 0.009931
42 5 102.544181 0.028162 0.011513
42 43 100.273958 0.025989 0.014287
43 44 100.623772 0.025981 0.005353
44 45 109.062439 0.025961 0.005851
45 46 100.85582 0.025957 0.012134
46 47 101.160015 0.025977 0.006699
47 42 104.136194 0.025988 0.013909
