src des bd delay plr 
0 5 107.096943 0.025986 0.010547
0 1 105.873117 0.025989 0.012053
0 42 100.678458 0.004177 0.013915
0 11 107.720347 0.011153 0.005029
1 2 100.461973 0.025986 0.0128
1 43 104.933476 0.011041 0.01068
1 6 107.128091 0.004027 0.008419
2 3 103.176995 0.025969 0.008838
2 44 104.427011 0.01516 0.007318
2 7 102.667782 0.015125 0.011283
3 4 100.061887 0.025955 0.005601
3 45 104.401592 0.004167 0.01078
3 8 104.415409 0.01114 0.00656
4 5 102.540365 0.025969 0.011277
4 46 100.905456 0.011029 0.007916
4 9 109.511006 0.004016 0.010458
5 47 101.132853 0.015166 0.006566
5 10 104.038889 0.015119 0.010009
6 5 101.033469 0.044031 0.011596
6 7 106.420626 0.025989 0.008722
6 12 102.010552 0.004178 0.008924
7 8 102.95148 0.025979 0.011388
7 13 104.019123 0.011041 0.012129
8 9 103.823678 0.025959 0.01253
8 14 108.869155 0.01516 0.005095
9 10 106.316437 0.025959 0.006896
9 15 103.219102 0.004167 0.011173
10 11 106.692133 0.025979 0.014829
10 16 105.846802 0.011029 0.014364
11 6 103.165786 0.025988 0.014239
11 17 104.208605 0.015166 0.00793
12 5 101.17653 0.045531 0.011697
12 13 101.361111 0.025989 0.011384
12 23 107.662436 0.011153 0.014631
13 14 104.611703 0.025986 0.012381
13 18 108.106988 0.004027 0.005684
14 15 101.672066 0.025969 0.012306
14 19 108.040361 0.015125 0.00972
15 16 107.024229 0.025955 0.010261
15 20 105.041294 0.01114 0.01134
16 17 101.616919 0.025969 0.005723
16 21 103.023737 0.004016 0.00898
17 12 108.619866 0.025986 0.012012
17 22 100.488587 0.015119 0.011616
18 5 105.575452 0.044086 0.011122
18 19 106.576963 0.025989 0.006231
18 24 103.011082 0.004178 0.006847
19 20 102.075815 0.025979 0.013758
19 25 105.148742 0.011041 0.014699
20 21 104.015414 0.025959 0.007785
20 26 101.893755 0.01516 0.012078
21 22 103.025734 0.025959 0.007489
21 27 100.366966 0.004167 0.008083
22 23 108.324818 0.025979 0.006127
22 28 106.69292 0.011029 0.006422
23 18 102.971894 0.025988 0.010629
23 29 105.812441 0.015166 0.007567
24 5 107.334871 0.045073 0.007061
24 25 109.877074 0.025989 0.011685
24 35 108.107604 0.011153 0.013386
25 26 105.623354 0.025986 0.006877
25 30 101.539493 0.004027 0.011885
26 27 109.071988 0.025969 0.011417
26 31 108.007329 0.015125 0.011236
27 28 101.203349 0.025955 0.014419
27 32 104.176495 0.01114 0.008928
28 29 108.464029 0.025969 0.008644
28 33 107.957805 0.004016 0.010845
29 24 107.354637 0.025986 0.008001
29 34 100.105526 0.015119 0.01175
30 5 102.567441 0.027734 0.005192
30 31 102.292496 0.025989 0.014232
30 36 109.3684 0.004177 0.006672
31 32 109.202353 0.025979 0.007652
31 37 108.01367 0.011041 0.014086
32 33 106.653472 0.025959 0.008155
32 38 106.665049 0.01516 0.010047
33 34 104.766561 0.025959 0.008589
33 39 103.384052 0.004167 0.006251
34 35 108.903841 0.025979 0.007224
34 40 104.834247 0.011029 0.007674
35 30 107.278751 0.025988 0.005149
35 41 102.001057 0.015166 0.006233
36 5 102.142043 0.025174 0.011717
36 37 107.566913 0.025989 0.013
36 47 106.89973 0.011153 0.008811
37 38 104.443303 0.025986 0.006911
37 42 107.474908 0.004027 0.011177
38 39 100.780467 0.025969 0.008103
38 43 105.783106 0.015125 0.005433
39 40 108.614507 0.025955 0.013107
39 44 105.543588 0.01114 0.009869
40 41 101.769925 0.025969 0.005172
40 45 100.457766 0.004016 0.012973
41 36 102.47291 0.025986 0.00549
41 46 100.82699 0.015119 0.014268
42 5 104.574294 0.027645 0.013933
42 43 102.599927 0.025989 0.007431
43 44 104.932408 0.025979 0.014096
44 45 101.512595 0.025959 0.014372
45 46 103.791276 0.025959 0.011976
46 47 105.227042 0.025979 0.006009
47 42 103.109961 0.025988 0.011739
