src des bd delay plr 
0 5 109.544191 0.025988 0.011877
0 1 108.037124 0.025989 0.014623
0 42 108.449492 0.003264 0.014755
0 11 100.746344 0.004932 0.009025
1 2 102.777323 0.02598 0.007765
1 43 106.089294 0.014897 0.005669
1 6 108.481823 0.010464 0.009194
2 3 103.317836 0.02596 0.011171
2 44 109.403061 0.011684 0.014816
2 7 108.527991 0.015342 0.007473
3 4 102.418932 0.025958 0.006708
3 45 105.760854 0.003253 0.007258
3 8 103.243677 0.004921 0.008043
4 5 100.043024 0.025978 0.011959
4 46 100.894816 0.014889 0.013638
4 9 109.396312 0.010451 0.011593
5 47 107.128731 0.011697 0.014682
5 10 100.025827 0.015347 0.005719
6 5 100.615207 0.04288 0.008587
6 7 106.419701 0.025986 0.007747
6 12 108.756858 0.003264 0.011848
7 8 100.63946 0.02597 0.010121
7 13 101.589376 0.014897 0.010256
8 9 106.087526 0.025955 0.011518
8 14 105.840613 0.011684 0.008665
9 10 105.884452 0.025968 0.006137
9 15 108.933882 0.003253 0.013873
10 11 109.741203 0.025985 0.005396
10 16 104.902762 0.014889 0.012672
11 6 102.316494 0.025989 0.008
11 17 106.299302 0.011697 0.009944
12 5 109.75576 0.041129 0.00918
12 13 107.294801 0.025989 0.010111
12 23 108.80927 0.004932 0.013411
13 14 106.867443 0.02598 0.013158
13 18 106.797164 0.010464 0.010785
14 15 109.864808 0.02596 0.006071
14 19 106.37789 0.015342 0.014966
15 16 107.180781 0.025958 0.014478
15 20 109.278925 0.004921 0.011321
16 17 102.347649 0.025978 0.008439
16 21 108.644841 0.010451 0.008296
17 12 104.304386 0.025988 0.010158
17 22 109.279297 0.015347 0.010338
18 5 105.762054 0.036879 0.009809
18 19 106.728189 0.025986 0.012433
18 24 105.560976 0.003264 0.005768
19 20 101.723697 0.02597 0.011884
19 25 101.509744 0.014897 0.007104
20 21 102.248434 0.025955 0.010447
20 26 103.418134 0.011684 0.011848
21 22 101.964892 0.025968 0.009728
21 27 101.443188 0.003253 0.006374
22 23 108.040914 0.025985 0.010576
22 28 100.121818 0.014889 0.014275
23 18 107.815329 0.025989 0.007402
23 29 102.238589 0.011697 0.008821
24 5 103.814135 0.035623 0.011469
24 25 101.561056 0.025989 0.012818
24 35 108.812888 0.004932 0.005191
25 26 106.918373 0.02598 0.009101
25 30 100.633718 0.010464 0.011582
26 27 100.082896 0.02596 0.014291
26 31 106.436772 0.015342 0.005262
27 28 105.037813 0.025958 0.011576
27 32 102.493065 0.004921 0.013477
28 29 102.604122 0.025978 0.011075
28 33 103.322061 0.010451 0.006842
29 24 102.3505 0.025988 0.012855
29 34 101.246459 0.015347 0.008926
30 5 104.110529 0.013634 0.006885
30 31 107.736764 0.025986 0.013955
30 36 107.319322 0.003264 0.006705
31 32 101.289332 0.02597 0.00913
31 37 108.799574 0.014897 0.009791
32 33 100.320671 0.025955 0.012211
32 38 101.835875 0.011684 0.013521
33 34 104.894081 0.025968 0.006153
33 39 106.228764 0.003253 0.00784
34 35 108.501249 0.025985 0.012407
34 40 101.562995 0.014889 0.012554
35 30 108.733176 0.025989 0.014998
35 41 101.714269 0.011697 0.012835
36 5 106.547803 0.015898 0.005298
36 37 101.774753 0.025989 0.014564
36 47 102.387854 0.004932 0.010204
37 38 106.517141 0.02598 0.008195
37 42 107.380593 0.010464 0.00643
38 39 108.950864 0.02596 0.008619
38 43 109.003842 0.015342 0.007537
39 40 103.300238 0.025958 0.00996
39 44 104.375014 0.004921 0.01395
40 41 103.642034 0.025978 0.011293
40 45 104.357984 0.010451 0.010784
41 36 106.140263 0.025988 0.013223
41 46 102.775603 0.015347 0.006539
42 5 100.888594 0.025778 0.008609
42 43 103.329305 0.025986 0.005219
43 44 108.362816 0.02597 0.014625
44 45 101.271643 0.025955 0.005671
45 46 103.17701 0.025968 0.009217
46 47 109.552831 0.025985 0.009235
47 42 109.178845 0.025989 0.011949
