src des bd delay plr 
0 5 100.525296 0.025983 0.007417
0 1 106.744311 0.025989 0.007892
0 42 104.857463 0.008049 0.008989
0 11 104.125728 0.013692 0.011937
1 2 103.098709 0.025988 0.009524
1 43 103.630799 0.007668 0.010962
1 6 106.561249 0.000652 0.009042
2 3 102.447817 0.025975 0.01027
2 44 103.112648 0.015675 0.006392
2 7 100.630482 0.013472 0.009025
3 4 103.073636 0.025956 0.008898
3 45 104.989242 0.008037 0.013835
3 8 108.81884 0.013682 0.012308
4 5 104.810904 0.025963 0.006132
4 46 102.416344 0.007655 0.005801
4 9 105.573623 0.000616 0.013343
5 47 100.377156 0.015674 0.007703
5 10 108.340258 0.013461 0.012746
6 5 105.766344 0.044741 0.011437
6 7 101.727872 0.025989 0.012685
6 12 101.250233 0.00805 0.010967
7 8 103.54746 0.025983 0.009545
7 13 106.843535 0.007668 0.010048
8 9 107.747354 0.025964 0.01418
8 14 101.133588 0.015675 0.010822
9 10 106.430543 0.025956 0.009224
9 15 102.736434 0.008037 0.00924
10 11 100.795307 0.025974 0.009655
10 16 105.992877 0.007655 0.009928
11 6 101.075826 0.025988 0.010781
11 17 106.502156 0.015674 0.008033
12 5 105.210837 0.047208 0.009482
12 13 102.354862 0.025989 0.009199
12 23 102.901925 0.013692 0.009715
13 14 108.004191 0.025988 0.010475
13 18 102.935413 0.000652 0.008244
14 15 101.405563 0.025975 0.009295
14 19 107.729966 0.013472 0.007359
15 16 102.931176 0.025956 0.010737
15 20 107.168262 0.013682 0.005641
16 17 100.880183 0.025963 0.008278
16 21 104.273107 0.000616 0.013026
17 12 105.762314 0.025983 0.011963
17 22 108.06214 0.013461 0.011278
18 5 101.730504 0.048079 0.005405
18 19 105.303184 0.025989 0.013866
18 24 105.34562 0.00805 0.008817
19 20 102.427734 0.025983 0.008365
19 25 107.611555 0.007668 0.006902
20 21 103.561679 0.025964 0.005711
20 26 102.931187 0.015675 0.006704
21 22 107.333705 0.025956 0.005568
21 27 103.115918 0.008037 0.011005
22 23 106.674092 0.025974 0.013293
22 28 102.190269 0.007655 0.010935
23 18 106.079217 0.025988 0.008494
23 29 102.785787 0.015674 0.008528
24 5 108.83061 0.0484 0.008628
24 25 107.078855 0.025989 0.00878
24 35 102.683552 0.013692 0.005908
25 26 101.401207 0.025988 0.014194
25 30 106.599641 0.000652 0.007558
26 27 107.203158 0.025975 0.008369
26 31 103.100427 0.013472 0.014248
27 28 105.490315 0.025956 0.009461
27 32 107.335701 0.013682 0.012546
28 29 106.676115 0.025963 0.009468
28 33 101.241017 0.000616 0.01399
29 24 103.48309 0.025983 0.009451
29 34 101.980736 0.013461 0.009392
30 5 106.050781 0.033718 0.009027
30 31 108.815026 0.025989 0.00918
30 36 105.313559 0.00805 0.006693
31 32 103.839134 0.025983 0.014634
31 37 107.596627 0.007668 0.008101
32 33 102.574021 0.025964 0.007126
32 38 108.849888 0.015675 0.005653
33 34 108.094328 0.025956 0.009808
33 39 104.171441 0.008037 0.011664
34 35 106.584904 0.025974 0.011623
34 40 102.504268 0.007655 0.013386
35 30 108.450012 0.025988 0.006339
35 41 103.923029 0.015674 0.011721
36 5 108.387379 0.02809 0.007188
36 37 108.442539 0.025989 0.014144
36 47 102.56927 0.013692 0.007969
37 38 106.011626 0.025988 0.012273
37 42 108.780953 0.000652 0.008299
38 39 106.338454 0.025975 0.009698
38 43 108.022253 0.013472 0.014889
39 40 109.565057 0.025956 0.014767
39 44 107.306936 0.013682 0.005418
40 41 101.476405 0.025963 0.009212
40 45 109.392758 0.000616 0.008884
41 36 100.202456 0.025983 0.013072
41 46 101.203519 0.013461 0.005947
42 5 107.967131 0.028758 0.011089
42 43 105.057167 0.025989 0.012158
43 44 100.958691 0.025983 0.012977
44 45 104.258343 0.025964 0.014006
45 46 102.823915 0.025956 0.013544
46 47 107.795561 0.025974 0.009148
47 42 105.779597 0.025988 0.007172
