src des bd delay plr 
0 5 109.605705 0.025973 0.012816
0 1 104.217597 0.025987 0.011608
0 42 102.22713 0.014153 0.008398
0 11 108.758002 0.015627 0.01452
1 2 109.578099 0.025989 0.013678
1 43 109.055753 0.001369 0.014879
1 6 103.11926 0.008892 0.005356
2 3 101.440924 0.025984 0.011086
2 44 105.098946 0.012931 0.014182
2 7 102.633635 0.00678 0.005763
3 4 105.022909 0.025965 0.009607
3 45 103.525984 0.014143 0.013695
3 8 108.008217 0.015629 0.006943
4 5 107.4636 0.025955 0.009824
4 46 106.522983 0.001351 0.007465
4 9 106.076999 0.008879 0.008436
5 47 107.478739 0.01292 0.010627
5 10 100.424681 0.006768 0.007629
6 5 107.374204 0.045369 0.007528
6 7 101.851561 0.025989 0.005387
6 12 103.862389 0.014153 0.009275
7 8 107.963142 0.025988 0.012176
7 13 100.345159 0.001369 0.010004
8 9 109.093344 0.025976 0.009736
8 14 109.668309 0.012931 0.013582
9 10 105.639995 0.025957 0.011992
9 15 105.029824 0.014143 0.013561
10 11 109.310687 0.025962 0.005811
10 16 106.862614 0.001351 0.008916
11 6 109.587633 0.025982 0.013179
11 17 101.609133 0.01292 0.009839
12 5 101.535375 0.046751 0.012304
12 13 107.613154 0.025987 0.005732
12 23 105.689496 0.015627 0.005528
13 14 108.138183 0.025989 0.010155
13 18 109.419159 0.008892 0.006364
14 15 100.448387 0.025984 0.013239
14 19 108.065008 0.00678 0.006108
15 16 104.671858 0.025965 0.012293
15 20 103.033093 0.015629 0.013653
16 17 101.504956 0.025955 0.009807
16 21 106.794814 0.008879 0.007133
17 12 100.110955 0.025973 0.014996
17 22 104.739926 0.006768 0.009698
18 5 102.429599 0.051414 0.010915
18 19 103.901731 0.025989 0.009457
18 24 101.905259 0.014153 0.013339
19 20 102.339676 0.025988 0.006046
19 25 109.986327 0.001369 0.011107
20 21 106.615193 0.025976 0.01021
20 26 103.556934 0.012931 0.005621
21 22 106.185221 0.025957 0.005197
21 27 109.660105 0.014143 0.011552
22 23 104.034578 0.025962 0.008056
22 28 105.678971 0.001351 0.014443
23 18 101.201974 0.025982 0.013915
23 29 106.261291 0.01292 0.009887
24 5 109.5762 0.047506 0.007744
24 25 105.555991 0.025987 0.005262
24 35 109.557768 0.015627 0.010114
25 26 103.52789 0.025989 0.009303
25 30 109.495999 0.008892 0.005457
26 27 108.034823 0.025984 0.014409
26 31 103.737261 0.00678 0.009016
27 28 100.17489 0.025965 0.011227
27 32 106.64441 0.015629 0.007952
28 29 108.176651 0.025955 0.013038
28 33 101.099911 0.008879 0.009069
29 24 106.027912 0.025973 0.008842
29 34 104.520139 0.006768 0.013336
30 5 103.882579 0.038313 0.011609
30 31 103.932365 0.025989 0.009371
30 36 105.397116 0.014153 0.010924
31 32 106.994373 0.025988 0.014276
31 37 103.366525 0.001369 0.014576
32 33 104.994865 0.025976 0.009322
32 38 100.522802 0.012931 0.008193
33 34 104.716964 0.025957 0.01353
33 39 105.144444 0.014143 0.012941
34 35 108.624 0.025962 0.005045
34 40 105.8027 0.001351 0.013683
35 30 107.512542 0.025982 0.014227
35 41 104.988803 0.01292 0.014641
36 5 101.476526 0.027308 0.014748
36 37 108.408558 0.025987 0.011903
36 47 103.11856 0.015627 0.013534
37 38 106.811997 0.025989 0.013329
37 42 105.702909 0.008892 0.010151
38 39 102.628985 0.025984 0.011738
38 43 100.184629 0.00678 0.005202
39 40 103.297172 0.025965 0.010549
39 44 103.142659 0.015629 0.012918
40 41 106.308025 0.025955 0.005714
40 45 109.50982 0.008879 0.006541
41 36 104.703577 0.025973 0.012681
41 46 102.017388 0.006768 0.007022
42 5 107.952725 0.029714 0.006872
42 43 101.721346 0.025989 0.007013
43 44 109.574683 0.025988 0.011187
44 45 103.056846 0.025976 0.013402
45 46 109.48715 0.025957 0.011713
46 47 108.373304 0.025962 0.008008
47 42 103.179193 0.025982 0.014293
