src des bd delay plr 
0 5 108.929058 0.025983 0.0079
0 1 109.683 0.025989 0.006244
0 42 103.598043 0.008416 0.012194
0 11 101.424357 0.013897 0.010721
1 2 108.530366 0.025988 0.005075
1 43 109.920835 0.007289 0.00657
1 6 107.237234 0.000895 0.008776
2 3 103.720694 0.025975 0.009189
2 44 108.47635 0.015663 0.007764
2 7 109.611361 0.013246 0.005609
3 4 105.917436 0.025956 0.008364
3 45 102.709578 0.008404 0.013323
3 8 105.62911 0.013887 0.013197
4 5 104.626053 0.025963 0.008577
4 46 103.193478 0.007277 0.007119
4 9 103.12363 0.000869 0.012349
5 47 101.181985 0.015662 0.012178
5 10 107.558983 0.013235 0.007298
6 5 103.743077 0.044804 0.006032
6 7 108.407095 0.025989 0.011132
6 12 108.497383 0.008416 0.012571
7 8 101.114915 0.025984 0.005033
7 13 107.482507 0.007289 0.008204
8 9 100.814545 0.025964 0.012574
8 14 100.688173 0.015663 0.011379
9 10 104.855332 0.025956 0.008165
9 15 107.005049 0.008404 0.013333
10 11 105.190397 0.025973 0.010618
10 16 108.824431 0.007277 0.012122
11 6 101.546718 0.025987 0.011161
11 17 103.021409 0.015662 0.012925
12 5 100.421245 0.047318 0.00627
12 13 105.675742 0.025989 0.012104
12 23 102.03151 0.013897 0.013202
13 14 107.540616 0.025988 0.010753
13 18 100.037554 0.000895 0.008523
14 15 102.782629 0.025975 0.013426
14 19 104.681814 0.013246 0.00984
15 16 101.18008 0.025956 0.010015
15 20 100.846066 0.013887 0.00602
16 17 104.659861 0.025963 0.005615
16 21 100.489159 0.000869 0.012381
17 12 104.518149 0.025983 0.013894
17 22 100.256823 0.013235 0.011078
18 5 100.97369 0.048421 0.010938
18 19 101.259437 0.025989 0.006943
18 24 103.737019 0.008416 0.014113
19 20 104.392947 0.025984 0.007828
19 25 104.281837 0.007289 0.007709
20 21 108.99671 0.025964 0.014817
20 26 104.137409 0.015663 0.011127
21 22 101.029546 0.025956 0.008738
21 27 107.692659 0.008404 0.00824
22 23 100.95564 0.025973 0.013723
22 28 105.2083 0.007277 0.011903
23 18 104.80927 0.025987 0.011762
23 29 105.668033 0.015662 0.013971
24 5 109.76872 0.048615 0.010322
24 25 103.482021 0.025989 0.010489
24 35 104.891062 0.013897 0.008084
25 26 102.287227 0.025988 0.010486
25 30 104.170889 0.000895 0.014791
26 27 106.931274 0.025975 0.008776
26 31 105.124641 0.013246 0.008463
27 28 102.932336 0.025956 0.009947
27 32 108.939272 0.013887 0.01156
28 29 100.409208 0.025963 0.01148
28 33 104.65424 0.000869 0.012342
29 24 102.339927 0.025983 0.011201
29 34 106.285567 0.013235 0.011512
30 5 102.658549 0.034203 0.009424
30 31 102.534887 0.025989 0.006684
30 36 100.326013 0.008416 0.013499
31 32 109.297848 0.025984 0.013236
31 37 103.584213 0.007289 0.007229
32 33 100.264055 0.025964 0.010242
32 38 102.842743 0.015663 0.013049
33 34 106.412547 0.025956 0.010726
33 39 100.783183 0.008404 0.01273
34 35 105.39006 0.025973 0.014428
34 40 100.757307 0.007277 0.008037
35 30 105.470984 0.025987 0.012658
35 41 103.670773 0.015662 0.014693
36 5 104.970269 0.028275 0.008888
36 37 100.778087 0.025989 0.01214
36 47 104.881084 0.013897 0.006618
37 38 103.804776 0.025988 0.010355
37 42 108.251579 0.000895 0.009033
38 39 103.253316 0.025975 0.014229
38 43 106.070036 0.013246 0.007254
39 40 102.018926 0.025956 0.010438
39 44 101.435812 0.013887 0.008474
40 41 104.700991 0.025963 0.011263
40 45 105.92507 0.000869 0.013332
41 36 107.397511 0.025983 0.011263
41 46 102.499326 0.013235 0.011542
42 5 109.473223 0.028856 0.011472
42 43 102.654022 0.025989 0.005625
43 44 103.414178 0.025984 0.006912
44 45 106.648553 0.025964 0.006634
45 46 101.880253 0.025956 0.010378
46 47 103.571137 0.025973 0.011663
47 42 108.395496 0.025987 0.009583
