src des bd delay plr 
0 5 100.774488 0.025979 0.007185
0 1 107.590718 0.025989 0.013094
0 42 103.929609 0.010947 0.008764
0 11 105.252139 0.015089 0.012439
1 2 109.972343 0.025988 0.009255
1 43 103.634709 0.004305 0.010618
1 6 100.92184 0.003899 0.01435
2 3 106.729736 0.025979 0.005975
2 44 106.204944 0.015199 0.012565
2 7 109.644526 0.011246 0.014395
3 4 101.368422 0.025959 0.012839
3 45 103.461076 0.010934 0.008821
3 8 106.738933 0.015083 0.010845
4 5 101.35397 0.025959 0.007569
4 46 105.653134 0.004294 0.007015
4 9 103.332906 0.003888 0.010775
5 47 104.409469 0.015193 0.01334
5 10 108.952909 0.011233 0.01173
6 5 106.812276 0.045188 0.009976
6 7 107.036861 0.025989 0.009247
6 12 103.025433 0.010947 0.006134
7 8 108.517483 0.025986 0.005809
7 13 102.871068 0.004305 0.006818
8 9 106.615344 0.025969 0.007653
8 14 103.681073 0.015199 0.01488
9 10 109.440717 0.025955 0.012086
9 15 101.354517 0.010934 0.010961
10 11 101.116088 0.025969 0.006946
10 16 106.798193 0.004294 0.014856
11 6 107.601764 0.025986 0.013906
11 17 104.619432 0.015193 0.013075
12 5 101.95485 0.047737 0.014119
12 13 102.906602 0.025989 0.010982
12 23 100.74793 0.015089 0.00696
13 14 103.107779 0.025988 0.009347
13 18 107.061005 0.003899 0.006704
14 15 104.327457 0.025979 0.005699
14 19 104.465406 0.011246 0.011917
15 16 102.129493 0.025959 0.012026
15 20 102.597224 0.015083 0.012975
16 17 109.93435 0.025959 0.00954
16 21 101.803763 0.003888 0.014011
17 12 102.999505 0.025979 0.007128
17 22 106.990298 0.011233 0.007709
18 5 104.36905 0.05046 0.014861
18 19 109.521505 0.025989 0.005779
18 24 107.611454 0.010947 0.007663
19 20 108.820666 0.025986 0.012216
19 25 102.581649 0.004305 0.01148
20 21 105.30897 0.025969 0.006225
20 26 101.932556 0.015199 0.008901
21 22 103.225195 0.025955 0.006917
21 27 102.09511 0.010934 0.014402
22 23 105.652497 0.025969 0.014439
22 28 100.230744 0.004294 0.006211
23 18 100.361472 0.025986 0.014558
23 29 102.815761 0.015193 0.005365
24 5 103.786906 0.049426 0.005629
24 25 101.982948 0.025989 0.008892
24 35 105.141593 0.015089 0.014213
25 26 107.467266 0.025988 0.011368
25 30 107.041357 0.003899 0.014194
26 27 108.305056 0.025979 0.009307
26 31 102.103931 0.011246 0.013148
27 28 100.117732 0.025959 0.013608
27 32 109.322147 0.015083 0.007208
28 29 101.315538 0.025959 0.009946
28 33 100.910363 0.003888 0.005984
29 24 101.077223 0.025979 0.006927
29 34 103.789812 0.011233 0.01127
30 5 102.674604 0.03703 0.010822
30 31 103.641902 0.025989 0.010699
30 36 107.089645 0.010947 0.009067
31 32 109.971378 0.025986 0.006744
31 37 104.9077 0.004305 0.013883
32 33 107.223681 0.025969 0.008669
32 38 108.978108 0.015199 0.010881
33 34 108.071521 0.025955 0.013953
33 39 102.763814 0.010934 0.006581
34 35 102.705832 0.025969 0.007143
34 40 108.95077 0.004294 0.009666
35 30 107.384727 0.025986 0.009185
35 41 103.342985 0.015193 0.010082
36 5 107.924714 0.028967 0.006681
36 37 101.858606 0.025989 0.007187
36 47 100.255463 0.015089 0.006873
37 38 103.966332 0.025988 0.007137
37 42 108.727918 0.003899 0.009171
38 39 105.992999 0.025979 0.007163
38 43 100.981098 0.011246 0.011415
39 40 103.004557 0.025959 0.009715
39 44 104.04953 0.015083 0.011129
40 41 103.443944 0.025959 0.013115
40 45 107.342867 0.003888 0.013967
41 36 103.603076 0.025979 0.007798
41 46 103.365026 0.011233 0.007022
42 5 103.103807 0.029444 0.008637
42 43 104.400718 0.025989 0.005769
43 44 106.843508 0.025986 0.008104
44 45 107.809665 0.025969 0.007053
45 46 100.103394 0.025955 0.006457
46 47 103.337768 0.025969 0.014296
47 42 103.792177 0.025986 0.007073
